county,positive,fatalities
Anderson,2162,8
Andrews,232,5
Angelina,1487,31
Aransas,135,7
Archer,15,0
Armstrong,5,0
Atascosa,396,11
Austin,202,5
Bailey,141,3
Bandera,78,1
Bastrop,1269,17
Baylor,5,0
Bee,417,7
Bell,3142,26
Bexar,30570,497
Blanco,91,2
Borden,0,0
Bosque,108,2
Bowie,690,29
Brazoria,5896,52
Brazos,3747,40
Brewster,177,2
Briscoe,11,1
Brooks,79,1
Brown,331,13
Burleson,226,5
Burnet,524,10
Caldwell,1043,19
Calhoun,432,2
Callahan,38,3
Cameron,8201,276
Camp,191,4
Carson,11,0
Cass,140,5
Castro,160,2
Chambers,832,2
Cherokee,665,4
Childress,27,0
Clay,26,1
Cochran,14,0
Coke,35,1
Coleman,10,0
Collin,5938,67
Collingsworth,6,0
Colorado,237,1
Comal,1602,55
Comanche,88,3
Concho,23,1
Cooke,182,3
Coryell,575,5
Cottle,9,2
Crane,66,2
Crockett,140,2
Crosby,51,2
Culberson,15,2
Dallam,173,5
Dallas,47239,589
Dawson,127,4
DeWitt,502,12
Deaf Smith,519,16
Delta,12,0
Denton,6208,71
Dickens,4,1
Dimmit,98,0
Donley,42,0
Duval,143,1
Eastland,41,1
Ector,2158,31
Edwards,22,0
El Paso,13552,220
Ellis,2332,33
Erath,389,3
Falls,106,1
Fannin,196,7
Fayette,291,13
Fisher,23,1
Floyd,73,4
Foard,2,0
Fort Bend,6679,126
Franklin,79,1
Freestone,135,0
Frio,432,5
Gaines,99,0
Galveston,8205,90
Garza,94,1
Gillespie,165,2
Glasscock,6,0
Goliad,69,2
Gonzales,598,8
Gray,157,3
Grayson,939,10
Gregg,1250,20
Grimes,824,18
Guadalupe,1542,34
Hale,1103,20
Hall,7,1
Hamilton,54,1
Hansford,49,2
Hardeman,13,0
Hardin,734,8
Harris,66195,1127
Harrison,589,22
Hartley,81,0
Haskell,30,0
Hays,4203,28
Hemphill,36,0
Henderson,518,8
Hidalgo,15759,254
Hill,296,1
Hockley,167,4
Hood,355,6
Hopkins,156,0
Houston,235,4
Howard,130,3
Hudspeth,19,2
Hunt,985,17
Hutchinson,108,2
Irion,7,0
Jack,26,0
Jackson,251,3
Jasper,268,6
Jeff Davis,8,0
Jefferson,5220,58
Jim Hogg,49,1
Jim Wells,545,3
Johnson,1354,21
Jones,621,0
Karnes,239,3
Kaufman,1563,17
Kendall,139,1
Kenedy,4,0
Kent,2,0
Kerr,336,4
Kimble,13,0
King,0,0
Kinney,14,0
Kleberg,311,2
Knox,44,0
La Salle,348,1
Lamar,570,16
Lamb,188,4
Lampasas,80,1
Lavaca,569,11
Lee,144,10
Leon,130,1
Liberty,808,25
Limestone,160,3
Lipscomb,15,0
Live Oak,115,1
Llano,84,0
Loving,0,0
Lubbock,5150,66
Lynn,62,3
Madison,631,0
Marion,119,7
Martin,44,2
Mason,38,0
Matagorda,610,20
Maverick,1390,23
McCulloch,34,0
McLennan,4042,32
McMullen,7,0
Medina,562,16
Menard,16,0
Midland,1364,23
Milam,286,4
Mills,14,0
Mitchell,42,0
Montague,46,1
Montgomery,5780,60
Moore,986,13
Morris,81,1
Motley,4,0
Nacogdoches,927,34
Navarro,691,9
Newton,78,4
Nolan,125,3
Nueces,8342,74
Ochiltree,76,3
Oldham,13,1
Orange,878,15
Palo Pinto,157,3
Panola,260,18
Parker,982,8
Parmer,294,7
Pecos,203,1
Polk,628,6
Potter,3389,41
Presidio,34,0
Rains,40,2
Randall,1477,18
Reagan,54,3
Real,71,0
Red River,132,11
Reeves,112,2
Refugio,160,0
Roberts,6,0
Robertson,199,1
Rockwall,674,12
Runnels,90,1
Rusk,320,8
Sabine,37,6
San Augustine,151,10
San Jacinto,136,6
San Patricio,694,14
San Saba,20,0
Schleicher,33,1
Scurry,396,1
Shackelford,17,0
Shelby,357,17
Sherman,36,0
Smith,2189,15
Somervell,46,0
Starr,1715,29
Stephens,28,2
Sterling,0,0
Stonewall,4,0
Sutton,57,1
Swisher,72,2
Tarrant,25739,343
Taylor,1019,16
Terrell,2,0
Terry,101,2
Throckmorton,2,0
Titus,1112,13
Tom Green,1493,11
Travis,19720,209
Trinity,117,2
Tyler,102,0
Upshur,175,2
Upton,13,1
Uvalde,427,3
Val Verde,1163,13
Van Zandt,309,1
Victoria,2960,24
Walker,2749,41
Waller,381,4
Ward,80,1
Washington,450,37
Webb,5136,65
Wharton,535,17
Wheeler,32,0
Wichita,824,9
Wilbarger,35,1
Willacy,570,17
Williamson,5366,77
Wilson,412,14
Winkler,65,1
Wise,290,4
Wood,261,5
Yoakum,66,1
Young,109,3
Zapata,126,1
Zavala,151,3
Unknown,.,2
Total,394265,5877
Probable cases are not included in the total case numbers,NA,NA
July 27: DSHS is now reporting COVID-19 fatality data based on death certificates. A fatality is counted as a COVID-19 fatality when the medical certifier attests on the death certificate that COVID-19 is a cause of death.,NA,NA
